semester_no,subject_id,subject_name,credits,course_type,elective_group,is_required
1,MT1007,Đại số Tuyến tính Linear Algebra,3,BẮT BUỘC,,True
1,MT1003,Giải tích 1 Calculus 1,4,BẮT BUỘC,,True
1,LA1003,Anh văn 1 English 1,2,BẮT BUỘC,,True
1,PH1003,Vật lý 1 General Physics 1,4,BẮT BUỘC,,True
1,CI1001,Nhập môn Về kỹ thuật Introduction to Engineering,3,BẮT BUỘC,,True
1,PH1007,Thí nghiệm Vật lý General Physics Labs,1,BẮT BUỘC,,True
1,PE1009,Bóng đá (Học phần 1) Football,0,Thể dục (Chọn 1),PE,False
1,PE1011,Bóng chuyền (Học phần 1) Volleyball,0,Thể dục (Chọn 1),PE,False
1,PE1013,Bóng bàn (Học phần 1) Table tennis,0,Thể dục (Chọn 1),PE,False
1,PE1015,Bóng rổ (Học phần 1) Basketball,0,Thể dục (Chọn 1),PE,False
1,PE1017,Cầu lông (Học phần 1) Badminton,0,Thể dục (Chọn 1),PE,False
1,PE1019,Bơi (học Phần 1) Swimming,0,Thể dục (Chọn 1),PE,False
1,PE1021,Aerobic (học Phần 1) Aerobic,0,Thể dục (Chọn 1),PE,False
1,PE1023,"Võ (Vovinam, Karate, Taewondo) (Học phần 1) Martial Art",0,Thể dục (Chọn 1),PE,False
1,PE1025,Điền kinh (Học phần 1) AThletics,0,Thể dục (Chọn 1),PE,False
1,PE1027,Quần vợt (Học phần 1) Tennis,0,Thể dục (Chọn 1),PE,False
1,PE1053,Cờ vua (Học phần 1) Chess (study part 1),0,Thể dục (Chọn 1),PE,False
1,PE1057,Bowling (học phần 1) --,0,Thể dục (Chọn 1),PE,False
1,PE1061,Pickleball (học phần 1) --,0,Thể dục (Chọn 1),PE,False
2,PE1033,Bóng đá (Học phần 2) Football,0,Thể dục (Chọn 1),PE,False
2,PE1035,Bóng chuyền (Học phần 2) Volleyball,0,Thể dục (Chọn 1),PE,False
2,PE1037,Bóng bàn (Học phần 2) Table tennis,0,Thể dục (Chọn 1),PE,False
2,PE1039,Bóng rổ (Học phần 2) Basketball,0,Thể dục (Chọn 1),PE,False
